id	Lp	StrzałDla	StrzałPrzeciw	Gospodarze	Goście	Bramkarz	Minuta	Strzelec	CzęśćCiała	C/Ncel/Zabl	GOL	KP	Strefa	karny	bezp.wolny	poSFG	expG
0101	1	Lechia	Wisła P	Wisła P	Lechia	Kiełpin	4	Chrapek	lewa	ncel			8				0.03450
0101	2	Lechia	Wisła P	Wisła P	Lechia	Kiełpin	15	Marco Paixao	głowa	celny	GOL	Peszko	1				0.39500
0101	3	Wisła P	Lechia	Wisła P	Lechia	Milinković-Savić	23	Szymiński	inne	celny	GOL	Furman	6			wolny	0.28482
0101	4	Wisła P	Lechia	Wisła P	Lechia	Milinković-Savić	27	Lebedyński	prawa	celny			5				0.06162
0101	5	Lechia	Wisła P	Wisła P	Lechia	Kiełpin	39	Marco Paixao	głowa	celny		Wolski	6			wolny	0.10947
0101	6	Wisła P	Lechia	Wisła P	Lechia	Milinković-Savić	43	Reca	prawa	ncel		Stefańczyk	6				0.17298
0101	7	Wisła P	Lechia	Wisła P	Lechia	Milinković-Savić	45	Hemeha	lewa	ncel		Lebedyński	8				0.03207
0101	8	Wisła P	Lechia	Wisła P	Lechia	Milinković-Savić	47	Reca 	lewa	celny		Ilijew	5				0.05739
0101	9	Wisła P	Lechia	Wisła P	Lechia	Milinković-Savić	50	Rogalski	prawa	ncel			5				0.06162
0101	10	Lechia	Wisła P	Wisła P	Lechia	Kiełpin	52	Wolski	prawa	zabl		Krasić	8				0.03207
0101	11	Lechia	Wisła P	Wisła P	Lechia	Kiełpin	53	Chrapek	prawa	zabl			8				0.03450
0101	12	Lechia	Wisła P	Wisła P	Lechia	Kiełpin	58	Peszko	prawa	celny		Wolski	6				0.17298
0101	13	Wisła P	Lechia	Wisła P	Lechia	Milinković-Savić	63	Rogalski	prawa	ncel			7				0.01229
0101	14	Wisła P	Lechia	Wisła P	Lechia	Milinković-Savić	66	Rogalski	prawa	zabl		Ilijew	7				0.01141
0101	15	Wisła P	Lechia	Wisła P	Lechia	Milinković-Savić	74	Kun	lewa	zabl			6				0.18407
0101	16	Wisła P	Lechia	Wisła P	Lechia	Milinković-Savić	77	Furman	prawa	celny	GOL		karny	karny			0.78571
0102	17	Lech	Śląsk	Śląsk	Lech	Pawełek	2	Robak	głowa	celny		Bille	6				0.10163
0102	18	Lech	Śląsk	Śląsk	Lech	Pawełek	11	Kędziora T	prawa	celny		Gajos	8				0.03207
