"Team","Pos","Prob","TotalPoints"
"Arka",12,0.2786,30
"Arka",13,0.2477,30
"Arka",11,0.1296,30
"Arka",14,0.224,30
"Arka",15,0.1201,30
"Bruk-Bet",6,0.3207,39
"Bruk-Bet",7,0.1643,39
"Bruk-Bet",8,0.2801,39
"Bruk-Bet",9,0.1945,39
"Bruk-Bet",10,0.0404,39
"Cracovia",11,0.2881,31
"Cracovia",12,0.2392,31
"Cracovia",13,0.252,31
"Cracovia",14,0.1815,31
"Cracovia",15,0.0392,31
"Górnik",15,0.2123,27
"Górnik",16,0.668,27
"Górnik",14,0.1048,27
"Górnik",13,0.0149,27
"Jagiellonia",1,0.7665,56
"Jagiellonia",2,0.2335,56
"Korona",6,0.5526,39
"Korona",7,0.1438,39
"Korona",8,0.1793,39
"Korona",9,0.1065,39
"Korona",10,0.0178,39
"Lech",3,0.3503,52
"Lech",4,0.5274,52
"Lech",2,0.1223,52
"Lechia",2,0.1559,53
"Lechia",1,0.0922,53
"Lechia",3,0.4402,53
"Lechia",4,0.3117,53
"Legia",1,0.3528,55
"Legia",2,0.5232,55
"Legia",3,0.124,55
"Piast",13,0.2416,30
"Piast",12,0.2614,30
"Piast",11,0.1199,30
"Piast",14,0.233,30
"Piast",15,0.1441,30
"Pogoñ",6,0.4599,39
"Pogoñ",7,0.2058,39
"Pogoñ",8,0.2449,39
"Pogoñ",9,0.08,39
"Pogoñ",10,0.0094,39
"Ruch",11,0.0805,30
"Ruch",13,0.1931,30
"Ruch",12,0.1723,30
"Ruch",14,0.2845,30
"Ruch",15,0.2696,30
"Wis³a K",5,1,44
"Wis³a P",8,0.2007,38
"Wis³a P",7,0.1699,38
"Wis³a P",6,0.0349,38
"Wis³a P",9,0.2265,38
"Wis³a P",10,0.368,38
"Zag³êbie",7,0.2841,38
"Zag³êbie",8,0.2848,38
"Zag³êbie",6,0.0596,38
"Zag³êbie",9,0.2139,38
"Zag³êbie",10,0.1576,38
"Œl¹sk",11,0.8221,33
"Œl¹sk",12,0.1779,33
