"Team","Pos","Prob","Lp","TotalPoints"
"Arka",12,0.2045,14,30
"Arka",13,0.2559,14,30
"Arka",14,0.2412,14,30
"Arka",15,0.2021,14,30
"Arka",11,0.0506,14,30
"Arka",16,0.0457,14,30
"Bruk-Bet",8,0.2349,7,39
"Bruk-Bet",7,0.1491,7,39
"Bruk-Bet",6,0.2341,7,39
"Bruk-Bet",10,0.107,7,39
"Bruk-Bet",9,0.2749,7,39
"Cracovia",11,0.2337,12,31
"Cracovia",14,0.2126,12,31
"Cracovia",12,0.2606,12,31
"Cracovia",13,0.223,12,31
"Cracovia",15,0.0701,12,31
"Górnik",16,0.8149,16,27
"Górnik",15,0.145,16,27
"Górnik",14,0.0401,16,27
"Jagiellonia",1,0.6731,1,56
"Jagiellonia",2,0.2909,1,56
"Jagiellonia",3,0.036,1,56
"Korona",6,0.4126,8,39
"Korona",8,0.166,8,39
"Korona",9,0.172,8,39
"Korona",7,0.1928,8,39
"Korona",10,0.0566,8,39
"Lech",4,0.6317,4,52
"Lech",3,0.3683,4,52
"Lechia",2,0.1535,3,53
"Lechia",3,0.4396,3,53
"Lechia",4,0.3683,3,53
"Lechia",1,0.0386,3,53
"Legia",3,0.1561,2,55
"Legia",2,0.5556,2,55
"Legia",1,0.2883,2,55
"Piast",14,0.238,13,30
"Piast",15,0.234,13,30
"Piast",12,0.1845,13,30
"Piast",13,0.249,13,30
"Piast",11,0.0457,13,30
"Piast",16,0.0488,13,30
"Pogoñ",9,0.1463,6,39
"Pogoñ",7,0.3037,6,39
"Pogoñ",6,0.2748,6,39
"Pogoñ",8,0.2212,6,39
"Pogoñ",10,0.054,6,39
"Ruch",15,0.3468,15,30
"Ruch",11,0.0285,15,30
"Ruch",16,0.0906,15,30
"Ruch",14,0.2434,15,30
"Ruch",12,0.115,15,30
"Ruch",13,0.1757,15,30
"Wis³a K",5,1,5,44
"Wis³a P",10,0.5052,9,38
"Wis³a P",9,0.1937,9,38
"Wis³a P",8,0.1481,9,38
"Wis³a P",7,0.1264,9,38
"Wis³a P",6,0.0266,9,38
"Zag³êbie",7,0.228,10,38
"Zag³êbie",6,0.0519,10,38
"Zag³êbie",10,0.2772,10,38
"Zag³êbie",9,0.2131,10,38
"Zag³êbie",8,0.2298,10,38
"Œl¹sk",13,0.0964,11,33
"Œl¹sk",12,0.2354,11,33
"Œl¹sk",11,0.6415,11,33
"Œl¹sk",14,0.0247,11,33
"Œl¹sk",15,0.002,11,33
